sales_id,sales_id_date,sales_date,deployment_date,project_id,project_name,client_id,client_company,invoice_issued,order_id,writer,user_id
20250115-0001,2025-01-15,2025-01-15,2025-01-22,PJ001,비즈메이트 웹/모바일 시스템 구축,101-81-10001,비즈메이트,true,20250105-0001,ADMIN,admin
20250130-0002,2025-01-30,2025-01-30,2025-02-06,PJ002,에이투비 내부 포털,101-81-10002,에이투비,true,20250120-0002,ADMIN,admin
20250215-0003,2025-02-15,2025-02-15,2025-02-22,PJ003,코드펜 코드리뷰 플랫폼,101-81-10003,코드펜,false,20250205-0003,ADMIN,admin
20250228-0004,2025-02-28,2025-02-28,2025-03-07,PJ004,네오소프트 모노레포 전환,101-81-10004,네오소프트,true,20250220-0004,ADMIN,admin
20250315-0005,2025-03-15,2025-03-15,2025-03-22,PJ005,디지털온 B2B 커머스,101-81-10005,디지털온,true,20250305-0005,ADMIN,admin
20250328-0006,2025-03-28,2025-03-28,2025-04-04,PJ006,하이브테크 클라우드 비용관리,101-81-10006,하이브테크,false,20250320-0006,ADMIN,admin
20250415-0007,2025-04-15,2025-04-15,2025-04-22,PJ007,엠오션 배포 자동화,101-81-10007,엠오션,true,20250405-0007,ADMIN,admin
20250430-0008,2025-04-30,2025-04-30,2025-05-07,PJ008,픽셀랩 디자인 시스템,101-81-10008,픽셀랩,true,20250420-0008,ADMIN,admin
20250515-0009,2025-05-15,2025-05-15,2025-05-22,PJ009,넥스트링크 네트워크 모니터링,101-81-10009,넥스트링크,false,20250505-0009,ADMIN,admin
20250530-0010,2025-05-30,2025-05-30,2025-06-06,PJ010,플레인코드 SaaS 빌링,101-81-10010,플레인코드,true,20250520-0010,ADMIN,admin
20250615-0011,2025-06-15,2025-06-15,2025-06-22,PJ011,비전데이터 분석 파이프라인,101-81-10011,비전데이터,true,20250605-0011,ADMIN,admin
20250630-0012,2025-06-30,2025-06-30,2025-07-07,PJ012,클라우딘 멀티클라우드 이관,101-81-10012,클라우딘,false,20250620-0012,ADMIN,admin
20250715-0013,2025-07-15,2025-07-15,2025-07-22,PJ013,코드나인 CI/CD 고도화,101-81-10013,코드나인,true,20250705-0013,ADMIN,admin
20250730-0014,2025-07-30,2025-07-30,2025-08-06,PJ014,리턴랩 컨설팅 포털,101-81-10014,리턴랩,true,20250720-0014,ADMIN,admin
20250815-0015,2025-08-15,2025-08-15,2025-08-22,PJ015,포커스소프트 고객센터,101-81-10015,포커스소프트,false,20250805-0015,ADMIN,admin
20251010-0016,2025-10-10,2025-10-10,2025-10-17,PJ018,코드펜 리뷰봇,101-81-10003,코드펜,true,20251005-0018,ADMIN,admin
