client_id,client_company,client_ceo,client_business_type,client_address,client_contact,client_email,writer,user_id,validation_status
101-81-10001,비즈메이트,김유진,IT서비스,서울 종로구 비즈로 1,02-201-1234,contact@bizmate.com,ADMIN,admin,true
101-81-10002,에이투비,박정현,IT서비스,서울 강남구 테헤란로 10,02-202-2345,hello@a2b.co.kr,ADMIN,admin,true
101-81-10003,코드펜,이도윤,소프트웨어개발,서울 마포구 양화로 55,02-203-3456,hi@codepen.kr,ADMIN,admin,true
101-81-10004,네오소프트,정하늘,IT서비스,서울 서초구 서초대로 77,02-204-4567,info@neosoft.kr,ADMIN,admin,true
101-81-10005,디지털온,최유라,SI/SM,서울 송파구 올림픽로 22,02-205-5678,contact@digitalon.kr,ADMIN,admin,true
101-81-10006,하이브테크,문성호,클라우드,서울 구로구 디지털로 300,02-206-6789,sales@hivetech.io,ADMIN,admin,true
101-81-10007,엠오션,유진호,플랫폼개발,서울 용산구 한강대로 99,02-207-7890,contact@mocean.kr,ADMIN,admin,true
101-81-10008,픽셀랩,한지원,UX/UI,서울 성동구 아차산로 15,02-208-8901,hello@pixellab.kr,ADMIN,admin,true
101-81-10009,넥스트링크,조은별,네트워크,서울 금천구 가산디지털1로 20,02-209-9012,cs@nextlink.kr,ADMIN,admin,true
101-81-10010,플레인코드,이예준,소프트웨어개발,서울 강서구 마곡중앙로 40,02-210-0123,team@plaincode.kr,ADMIN,admin,true
101-81-10011,비전데이터,오지훈,데이터분석,서울 중구 세종대로 110,02-211-1234,contact@visiondata.ai,ADMIN,admin,true
101-81-10012,클라우딘,김다연,클라우드,서울 노원구 동일로 500,02-212-2345,hi@cloudyn.io,ADMIN,admin,true
101-81-10013,코드나인,서우혁,소프트웨어개발,서울 동대문구 장한로 21,02-213-3456,hello@codenine.kr,ADMIN,admin,true
101-81-10014,리턴랩,안도현,컨설팅,서울 은평구 통일로 780,02-214-4567,info@returnlab.kr,ADMIN,admin,true
101-81-10015,포커스소프트,장유진,IT서비스,서울 광진구 아차산로 300,02-215-5678,contact@focussoft.kr,ADMIN,admin,true
